J:<Bb,39796>
F:<Bb,34940>
I:<Bb,32248>
B:<Dw,17223>
C:<DE,8581>
A:<Bb,19261>
G:<Bb,9969>
E:<DE,6070>
D:<Bb,11671>
H:<DE,3180>
J:<Ao,41054>
F:<Ao,49344>
I:<Ao,22096>
B:<P,16160>
C:<Ao,6409>
A:<Ao,11964>
G:<Ao,10775>
E:<Ao,8601>
D:<Ao,11106>
H:<Ao,2092>
J:<Ab,37494>
F:<Ab,34047>
I:<Ab,23312>
B:<Ab,24221>
C:<Ab,6250>
A:<Ab,15121>
G:<Ab,10646>
E:<BR,5568>
D:<Ab,10323>
H:<Ab,2992>
J:<Ao,31812>
F:<P,63096>
I:<Ao,32385>
B:<P,15743>
C:<Ao,5777>
A:<Ao,12804>
G:<Ao,9761>
E:<Ao,7515>
D:<Ao,11501>
H:<Ao,3427>
J:<AJ,28230>
F:<Dn,32024>
I:<AJ,26458>
B:<Dn,17188>
C:<AJ,5831>
A:<AJ,11204>
G:<AJ,7260>
E:<A3,4872>
D:<AJ,9453>
H:<AJ,3123>
J:<Ao,33670>
F:<Ao,67657>
I:<Ao,26195>
B:<CS,15832>
C:<Ao,5120>
A:<Ao,12083>
G:<Ao,6275>
E:<Ao,6115>
D:<Ao,6419>
H:<Ao,2533>
J:<AJ,28844>
F:<AJ,34671>
I:<AJ,20181>
B:<AF,18072>
C:<AJ,7362>
A:<AJ,15315>
G:<AJ,9736>
E:<Dr,5207>
D:<AJ,5077>
H:<AJ,3058>
J:<Ao,31539>
F:<Ao,43420>
I:<Ao,21815>
B:<CS,14792>
C:<Ao,4372>
A:<Ao,12342>
G:<Ao,6885>
E:<Ao,4925>
D:<Ao,6297>
H:<Ao,1886>
J:<AV,24738>
F:<Q,25599>
I:<AV,24406>
B:<Q,15180>
C:<AV,7290>
A:<AV,11614>
G:<AV,7249>
E:<A3,5169>
D:<AV,4262>
H:<AV,1721>
J:<DA,29221>
F:<Dp,45691>
I:<Dp,24728>
B:<DU,12317>
C:<DA,7296>
A:<Cs,10673>
G:<DA,6401>
E:<Dr,6042>
D:<DA,6115>
H:<DA,2308>
J:<Db,18355>
F:<CK,20093>
I:<Db,14424>
B:<AF,18662>
C:<B7,7315>
A:<Db,8151>
G:<B7,7830>
E:<Dr,4887>
D:<B7,5749>
H:<CG,1610>
J:<Bv,23237>
F:<Dn,39300>
I:<AJ,16815>
B:<Dn,13526>
C:<AJ,3835>
A:<AJ,10562>
G:<Bv,6349>
E:<Bv,3366>
D:<Bv,7172>
H:<AJ,1430>
J:<Dq,18163>
F:<CT,49022>
I:<Dq,15056>
B:<CT,19570>
C:<Dq,10366>
A:<Dq,10103>
G:<Dq,8665>
E:<Dq,7182>
D:<Dq,5214>
H:<Dq,1791>
J:<Ao,17596>
F:<Ao,58488>
I:<Ao,22732>
B:<Dw,19174>
C:<Ao,8095>
A:<Ao,10594>
G:<Ao,5099>
E:<Ao,9455>
D:<Ao,6111>
H:<Ao,1901>
J:<Ab,26062>
F:<Ab,21350>
I:<Ab,20679>
B:<Ab,12527>
C:<Ab,8373>
A:<Ab,10783>
G:<Ab,6998>
E:<A3,5073>
D:<Ab,4442>
H:<Ab,1097>
J:<BM,24102>
F:<C4,20453>
I:<BM,13790>
B:<AD,9941>
C:<B7,7466>
A:<BM,9416>
G:<A7,7075>
E:<A7,2983>
D:<A7,4573>
H:<C4,1275>
J:<Ab,15399>
F:<Ab,15532>
I:<Ab,16219>
B:<Ab,14592>
C:<Ab,6989>
A:<Ab,11086>
G:<Ab,6887>
E:<A3,5282>
D:<Ab,4047>
H:<Ab,1568>
J:<Ag,15519>
F:<CT,17478>
I:<Ag,12880>
B:<CT,11816>
C:<Ag,5820>
A:<Ag,7062>
G:<Ag,4934>
E:<Ag,3164>
D:<Ag,3973>
H:<Ag,1728>
J:<DE,12513>
F:<C4,9369>
I:<DE,15468>
B:<DU,11191>
C:<DE,3850>
A:<DE,7861>
G:<DE,4015>
E:<DE,3406>
D:<DE,3810>
H:<C4,1060>
J:<Ak,15657>
F:<Cz,9893>
I:<Ak,15766>
B:<DV,9723>
C:<Ak,5279>
A:<AS,10884>
G:<Ak,5804>
E:<Ak,2791>
D:<Ak,4125>
H:<Ak,1237>
J:<Cg,18114>
F:<CP,9613>
I:<Cg,15086>
B:<AD,12137>
C:<Cg,6910>
A:<Cg,8719>
G:<Cg,5321>
E:<Cg,2900>
D:<Cg,3116>
H:<CH,719>
J:<E,14435>
F:<CK,6468>
I:<E,12153>
B:<DU,9689>
C:<E,3628>
A:<E,10035>
G:<E,3662>
E:<Dq,122>,<Ag,117>,<Ak,117>,<Ao,117>,<Ar,117>,<A3,117>,<Dr,117>,<A7,117>,<BR,117>,<BV,117>,<Bv,117>,<B0,117>,<Cg,117>,<Du,117>,<DD,117>,<DE,117>,<DF,117>
D:<E,4054>
H:<CH,792>
J:<CF,11809>
F:<CF,6873>
I:<CF,11594>
B:<AD,8470>
C:<CF,2529>
A:<Dq,8245>
G:<CF,3557>
E:<Dq,2436>
D:<CF,2377>
H:<CF,689>
J:<Du,8389>
F:<AG,8291>
I:<Du,12145>
B:<AG,6133>
C:<Du,1902>
A:<Du,8131>
G:<Du,3623>
E:<Du,2507>
D:<Du,2836>
H:<Du,536>
J:<Do,9347>
F:<Do,16498>
I:<Do,10229>
B:<DV,7626>
C:<Do,2228>
A:<Do,6954>
G:<Do,2842>
E:<BR,4644>
D:<Do,3713>
H:<Do,940>
J:<CF,11432>
F:<CF,14968>
I:<CF,10366>
B:<Dw,5292>
C:<CF,1863>
A:<Du,4479>
G:<CF,3447>
E:<Du,3881>
D:<CF,2675>
H:<CF,1114>
J:<CF,9452>
F:<CF,14088>
I:<Bh,6665>
B:<DU,4958>
C:<CF,2108>
A:<Bh,6284>
G:<CF,2737>
E:<Cg,2409>
D:<CF,3500>
H:<CF,704>
J:<CF,7500>
F:<CF,15904>
I:<CF,9120>
B:<Dn,7921>
C:<CF,1900>
A:<Bb,6701>
G:<CF,2755>
E:<BR,3563>
D:<CF,2140>
H:<CF,715>
J:<B0,7809>
F:<Bb,10668>
I:<B0,8139>
B:<Dn,374>,<P,364>,<Q,364>,<AD,364>,<AF,364>,<AG,364>,<Ab,364>,<CS,364>,<CT,364>,<DU,364>,<DV,364>,<Dw,364>
C:<B0,2252>
A:<B0,4610>
G:<B0,2340>
E:<B0,3189>
D:<B0,1784>
H:<B0,1156>
J:<Ab,7584>
F:<Ab,7810>
I:<Ab,8885>
B:<Ab,7078>
C:<Ab,1645>
A:<Ab,6392>
G:<Ab,2385>
E:<DD,2286>
D:<Ab,1754>
H:<Ab,939>
J:<Du,7636>
F:<CT,7758>
I:<Du,9832>
B:<CT,4326>
C:<Du,1915>
A:<Du,6081>
G:<Du,2869>
E:<Du,2773>
D:<Du,2329>
H:<Du,622>
J:<BM,6223>
F:<BM,7036>
I:<BM,6117>
B:<Dw,5752>
C:<Ag,2174>
A:<BM,4583>
G:<Ag,2808>
E:<Ag,2792>
D:<Ag,2399>
H:<Ag,646>
J:<BW,8838>
F:<Do,6040>
I:<Dj,4904>
B:<DV,5784>
C:<CZ,2020>
A:<Dj,4267>
G:<D,1564>
E:<Dq,2283>
D:<D,1989>
H:<4,457>
J:<D,6868>
F:<Q,4702>
I:<D,6805>
B:<Q,5461>
C:<CZ,1362>
A:<D,5515>
G:<D,2166>
E:<Dq,97>,<Ag,88>,<Ak,88>,<Ao,88>,<Ar,88>,<A3,88>,<Dr,88>,<A7,88>,<BR,88>,<BV,88>,<Bv,88>,<B0,88>,<Cg,88>,<Du,88>,<DD,88>,<DE,88>,<DF,88>
D:<D,2679>
H:<CG,420>
J:<DA,6289>
F:<Bb,3803>
I:<BC,5940>
B:<Dn,302>,<P,298>,<Q,298>,<AD,298>,<AF,298>,<AG,298>,<Ab,298>,<CS,298>,<CT,298>,<DU,298>,<DV,298>,<Dw,298>
C:<DA,1641>
A:<Br,4297>
G:<DA,1270>
E:<Dq,127>,<Ag,112>,<Ak,112>,<Ao,112>,<Ar,112>,<A3,112>,<Dr,112>,<A7,112>,<BR,112>,<BV,112>,<Bv,112>,<B0,112>,<Cg,112>,<Du,112>,<DD,112>,<DE,112>,<DF,112>
D:<DA,2382>
H:<DA,330>
J:<B,6971>
F:<Dn,209>,<P,207>,<Q,207>,<AG,207>,<AJ,207>,<Do,207>,<Ab,207>,<Dp,207>,<Ao,207>,<BM,207>,<Bb,207>,<CF,207>,<CK,207>,<CP,207>,<CS,207>,<CT,207>,<Cz,207>,<C4,207>
I:<B,5486>
B:<Dn,244>,<P,237>,<Q,237>,<AD,237>,<AF,237>,<AG,237>,<Ab,237>,<CS,237>,<CT,237>,<DU,237>,<DV,237>,<Dw,237>
C:<CZ,1357>
A:<B,4449>
G:<B,1674>
E:<Dq,122>,<Ag,120>,<Ak,120>,<Ao,120>,<Ar,120>,<A3,120>,<Dr,120>,<A7,120>,<BR,120>,<BV,120>,<Bv,120>,<B0,120>,<Cg,120>,<Du,120>,<DD,120>,<DE,120>,<DF,120>
D:<B,2531>
H:<DA,291>
J:<Cz,8246>
F:<Cz,9082>
I:<Cz,6913>
B:<Dn,281>,<P,280>,<Q,280>,<AD,280>,<AF,280>,<AG,280>,<Ab,280>,<CS,280>,<CT,280>,<DU,280>,<DV,280>,<Dw,280>
C:<Cz,1503>
A:<Cb,3076>
G:<Cz,1781>
E:<Dr,3882>
D:<Cz,2162>
H:<Cz,492>
J:<AJ,7600>
F:<AJ,7988>
I:<AJ,4712>
B:<Dn,368>,<P,365>,<Q,365>,<AD,365>,<AF,365>,<AG,365>,<Ab,365>,<CS,365>,<CT,365>,<DU,365>,<DV,365>,<Dw,365>
C:<AJ,1685>
A:<AJ,3046>
G:<AJ,2246>
E:<DF,3401>
D:<AJ,1778>
H:<AJ,497>
J:<Ag,7879>
F:<Dp,4354>
I:<Ag,6681>
B:<Dn,239>,<P,236>,<Q,236>,<AD,236>,<AF,236>,<AG,236>,<Ab,236>,<CS,236>,<CT,236>,<DU,236>,<DV,236>,<Dw,236>
C:<Ag,1491>
A:<Ag,3694>
G:<Ag,1814>
E:<Ag,3065>
D:<Ag,1904>
H:<Ag,477>
J:<DF,5039>
F:<AG,3969>
I:<DF,4487>
B:<AG,3599>
C:<DF,1128>
A:<DF,4384>
G:<DF,1425>
E:<DF,3231>
D:<DF,1574>
H:<DF,318>
J:<C9,6232>
F:<P,5004>
I:<C9,3800>
B:<P,3064>
C:<C9,1467>
A:<Dm,4106>
G:<C9,1403>
E:<Dq,108>,<Ag,95>,<Ak,95>,<Ao,95>,<Ar,95>,<A3,95>,<Dr,95>,<A7,95>,<BR,95>,<BV,95>,<Bv,95>,<B0,95>,<Cg,95>,<Du,95>,<DD,95>,<DE,95>,<DF,95>
D:<C9,1982>
H:<C9,291>
J:<CF,5478>
F:<CF,4904>
I:<CF,5680>
B:<Dn,298>,<P,288>,<Q,288>,<AD,288>,<AF,288>,<AG,288>,<Ab,288>,<CS,288>,<CT,288>,<DU,288>,<DV,288>,<Dw,288>
C:<CF,1388>
A:<E,4084>
G:<CF,1610>
E:<Dq,103>,<Ag,103>,<Ak,103>,<Ao,103>,<Ar,103>,<A3,103>,<Dr,103>,<A7,103>,<BR,103>,<BV,103>,<Bv,103>,<B0,103>,<Cg,103>,<Du,103>,<DD,103>,<DE,103>,<DF,103>
D:<CF,1326>
H:<CF,319>
J:<DE,4112>
F:<Dn,180>,<P,171>,<Q,171>,<AG,171>,<AJ,171>,<Do,171>,<Ab,171>,<Dp,171>,<Ao,171>,<BM,171>,<Bb,171>,<CF,171>,<CK,171>,<CP,171>,<CS,171>,<CT,171>,<Cz,171>,<C4,171>
I:<DE,3414>
B:<Dn,273>,<P,264>,<Q,264>,<AD,264>,<AF,264>,<AG,264>,<Ab,264>,<CS,264>,<CT,264>,<DU,264>,<DV,264>,<Dw,264>
C:<DE,814>
A:<DE,3712>
G:<DE,1332>
E:<DE,2245>
D:<DE,1538>
H:<DE,212>
J:<E,5578>
F:<Dn,196>,<P,179>,<Q,179>,<AG,179>,<AJ,179>,<Do,179>,<Ab,179>,<Dp,179>,<Ao,179>,<BM,179>,<Bb,179>,<CF,179>,<CK,179>,<CP,179>,<CS,179>,<CT,179>,<Cz,179>,<C4,179>
I:<E,4349>
B:<Dn,164>,<P,160>,<Q,160>,<AD,160>,<AF,160>,<AG,160>,<Ab,160>,<CS,160>,<CT,160>,<DU,160>,<DV,160>,<Dw,160>
C:<E,724>
A:<E,2337>
G:<E,1475>
E:<Dq,84>,<Ag,80>,<Ak,80>,<Ao,80>,<Ar,80>,<A3,80>,<Dr,80>,<A7,80>,<BR,80>,<BV,80>,<Bv,80>,<B0,80>,<Cg,80>,<Du,80>,<DD,80>,<DE,80>,<DF,80>
D:<E,993>
H:<4,193>
J:<CZ,6237>
F:<Dn,173>,<P,171>,<Q,171>,<AG,171>,<AJ,171>,<Do,171>,<Ab,171>,<Dp,171>,<Ao,171>,<BM,171>,<Bb,171>,<CF,171>,<CK,171>,<CP,171>,<CS,171>,<CT,171>,<Cz,171>,<C4,171>
I:<CZ,3562>
B:<Dn,183>,<P,183>,<Q,183>,<AD,183>,<AF,183>,<AG,183>,<Ab,183>,<CS,183>,<CT,183>,<DU,183>,<DV,183>,<Dw,183>
C:<CZ,871>
A:<CZ,2215>
G:<CZ,1325>
E:<Dq,93>,<Ag,82>,<Ak,82>,<Ao,82>,<Ar,82>,<A3,82>,<Dr,82>,<A7,82>,<BR,82>,<BV,82>,<Bv,82>,<B0,82>,<Cg,82>,<Du,82>,<DD,82>,<DE,82>,<DF,82>
D:<CZ,1437>
H:<C8,250>
J:<BM,3858>
F:<BM,4242>
I:<BM,3653>
B:<Dn,229>,<P,229>,<Q,229>,<AD,229>,<AF,229>,<AG,229>,<Ab,229>,<CS,229>,<CT,229>,<DU,229>,<DV,229>,<Dw,229>
C:<C9,1346>
A:<BM,2333>
G:<C9,1022>
E:<Dq,66>,<Ag,58>,<Ak,58>,<Ao,58>,<Ar,58>,<A3,58>,<Dr,58>,<A7,58>,<BR,58>,<BV,58>,<Bv,58>,<B0,58>,<Cg,58>,<Du,58>,<DD,58>,<DE,58>,<DF,58>
D:<C9,1392>
H:<C9,178>
J:<AV,4406>
F:<Dn,190>,<P,175>,<Q,175>,<AG,175>,<AJ,175>,<Do,175>,<Ab,175>,<Dp,175>,<Ao,175>,<BM,175>,<Bb,175>,<CF,175>,<CK,175>,<CP,175>,<CS,175>,<CT,175>,<Cz,175>,<C4,175>
I:<AV,3712>
B:<Dn,216>,<P,207>,<Q,207>,<AD,207>,<AF,207>,<AG,207>,<Ab,207>,<CS,207>,<CT,207>,<DU,207>,<DV,207>,<Dw,207>
C:<AV,1411>
A:<AV,2014>
G:<AV,1302>
E:<Dq,115>,<Ag,110>,<Ak,110>,<Ao,110>,<Ar,110>,<A3,110>,<Dr,110>,<A7,110>,<BR,110>,<BV,110>,<Bv,110>,<B0,110>,<Cg,110>,<Du,110>,<DD,110>,<DE,110>,<DF,110>
D:<AV,950>
H:<AV,181>
J:<AS,6720>
F:<Dp,4189>
I:<Dp,3801>
B:<Dn,172>,<P,163>,<Q,163>,<AD,163>,<AF,163>,<AG,163>,<Ab,163>,<CS,163>,<CT,163>,<DU,163>,<DV,163>,<Dw,163>
C:<AS,1295>
A:<AS,3125>
G:<AS,1319>
E:<Dq,67>,<Ag,62>,<Ak,62>,<Ao,62>,<Ar,62>,<A3,62>,<Dr,62>,<A7,62>,<BR,62>,<BV,62>,<Bv,62>,<B0,62>,<Cg,62>,<Du,62>,<DD,62>,<DE,62>,<DF,62>
D:<AS,1114>
H:<AS,215>
J:<Ak,6266>
F:<Bb,3973>
I:<Ak,4457>
B:<Dn,142>,<P,135>,<Q,135>,<AD,135>,<AF,135>,<AG,135>,<Ab,135>,<CS,135>,<CT,135>,<DU,135>,<DV,135>,<Dw,135>
C:<Ak,978>
A:<Bb,1971>
G:<Ak,1233>
E:<Ak,3179>
D:<Ak,1048>
H:<Ak,406>
J:<Do,3942>
F:<Do,4156>
I:<Do,3038>
B:<Dn,159>,<P,155>,<Q,155>,<AD,155>,<AF,155>,<AG,155>,<Ab,155>,<CS,155>,<CT,155>,<DU,155>,<DV,155>,<Dw,155>
C:<Do,1008>
A:<Do,2790>
G:<Do,1087>
E:<Cg,2104>
D:<Do,1030>
H:<Do,248>
J:<Ar,4206>
F:<Dp,3920>
I:<Dp,4491>
B:<Dn,136>,<P,126>,<Q,126>,<AD,126>,<AF,126>,<AG,126>,<Ab,126>,<CS,126>,<CT,126>,<DU,126>,<DV,126>,<Dw,126>
C:<Ar,922>
A:<Ar,2711>
G:<Ar,917>
E:<Ar,2704>
D:<Ar,1156>
H:<Ar,219>
J:<DD,6335>
F:<Dn,183>,<P,181>,<Q,181>,<AG,181>,<AJ,181>,<Do,181>,<Ab,181>,<Dp,181>,<Ao,181>,<BM,181>,<Bb,181>,<CF,181>,<CK,181>,<CP,181>,<CS,181>,<CT,181>,<Cz,181>,<C4,181>
I:<DD,3095>
B:<Dn,194>,<P,187>,<Q,187>,<AD,187>,<AF,187>,<AG,187>,<Ab,187>,<CS,187>,<CT,187>,<DU,187>,<DV,187>,<Dw,187>
C:<DD,795>
A:<DD,2108>
G:<DD,1422>
E:<DD,2740>
D:<DD,1177>
H:<DD,189>
J:<AS,3826>
F:<Dn,182>,<P,176>,<Q,176>,<AG,176>,<AJ,176>,<Do,176>,<Ab,176>,<Dp,176>,<Ao,176>,<BM,176>,<Bb,176>,<CF,176>,<CK,176>,<CP,176>,<CS,176>,<CT,176>,<Cz,176>,<C4,176>
I:<AS,4917>
B:<Dn,192>,<P,182>,<Q,182>,<AD,182>,<AF,182>,<AG,182>,<Ab,182>,<CS,182>,<CT,182>,<DU,182>,<DV,182>,<Dw,182>
C:<AS,1088>
A:<AS,1596>
G:<AS,1146>
E:<Ak,2462>
D:<AS,788>
H:<AS,175>
J:<Du,3817>
F:<Dn,139>,<P,135>,<Q,135>,<AG,135>,<AJ,135>,<Do,135>,<Ab,135>,<Dp,135>,<Ao,135>,<BM,135>,<Bb,135>,<CF,135>,<CK,135>,<CP,135>,<CS,135>,<CT,135>,<Cz,135>,<C4,135>
I:<Du,3347>
B:<Dn,150>,<P,144>,<Q,144>,<AD,144>,<AF,144>,<AG,144>,<Ab,144>,<CS,144>,<CT,144>,<DU,144>,<DV,144>,<Dw,144>
C:<Du,1003>
A:<Du,1803>
G:<Du,1362>
E:<Du,2191>
D:<Du,995>
H:<Du,231>
J:<DE,5710>
F:<Dn,156>,<P,153>,<Q,153>,<AG,153>,<AJ,153>,<Do,153>,<Ab,153>,<Dp,153>,<Ao,153>,<BM,153>,<Bb,153>,<CF,153>,<CK,153>,<CP,153>,<CS,153>,<CT,153>,<Cz,153>,<C4,153>
I:<DE,3882>
B:<Dn,163>,<P,160>,<Q,160>,<AD,160>,<AF,160>,<AG,160>,<Ab,160>,<CS,160>,<CT,160>,<DU,160>,<DV,160>,<Dw,160>
C:<DE,1065>
A:<DE,2158>
G:<DE,901>
E:<DE,2477>
D:<DE,925>
H:<DE,190>
J:<AS,6081>
